genres,keywords,revenue,title,vote_average,vote_count,cast,director
Science Fiction Thriller Drama,father son relationship train accident comic book marriage crisis invulnerability,248118121,Unbreakable,6.9,1946,Bruce Willis Samuel L. Jackson Robin Wright Spencer Treat Clark John Patrick Amedori,M. Night Shyamalan
Family Animation Adventure Comedy,assistant aftercreditsstinger duringcreditsstinger evil mastermind minions,1156730962,Minions,6.4,4571,Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,Kyle Balda
Action Fantasy Thriller,brothel fantasy asylum reality escape,89792502,Sucker Punch,5.9,1623,Emily Browning Abbie Cornish Jena Malone Vanessa Hudgens Jamie Chung,Zack Snyder
Crime Mystery,casino political activism boxer mission of murder boxing match,103891409,Snake Eyes,5.8,327,Nicolas Cage Gary Sinise John Heard Carla Gugino Tamara Tunie,Brian De Palma
Science Fiction,ocean extraterrestrial technology space marine paranoia raumschiffabsturz,13100000,Sphere,5.8,476,Dustin Hoffman Sharon Stone Samuel L. Jackson Peter Coyote Liev Schreiber,Barry Levinson
Family Animation,island bird pig talking animal based on video game,349779543,The Angry Birds Movie,5.9,1022,Jason Sudeikis Josh Gad Danny McBride Maya Rudolph Bill Hader,Fergal Reilly
Romance Comedy Adventure,helicopter cemetery boat mexican standoff sword,111231041,Fool's Gold,5.4,444,Matthew McConaughey Kate Hudson Donald Sutherland Ewen Bremner Alexis Dziena,Andy Tennant
Comedy Drama,comedian cancer bromance stand-up comedian,61458982,Funny People,5.7,390,Adam Sandler Seth Rogen Leslie Mann Eric Bana Jonah Hill,Judd Apatow
Thriller Action Drama,assassination assassin terrorist explosive fbi,86658558,The Kingdom,6.5,513,Jamie Foxx Jennifer Garner Chris Cooper Jason Bateman Ali Suliman,Peter Berg
Comedy,north carolina prayer family dinner advertising divorce,162966177,Talladega Nights: The Ballad of Ricky Bobby,6.2,491,Will Ferrell John C. Reilly Sacha Baron Cohen Gary Cole Michael Clarke Duncan,Adam McKay
Comedy Family Romance Fantasy,veterinarian forest bear animal animal protection,176104344,Dr. Dolittle 2,4.9,410,Eddie Murphy Kristen Wilson Raven-Symon\u00e9 Kyla Pratt Mandy Moore,Steve Carr
Action Drama History War,individual scotland in love with enemy legend independence,210000000,Braveheart,7.7,3336,Mel Gibson Catherine McCormack Sophie Marceau Patrick McGoohan Angus Macfadyen,Mel Gibson
Drama War,sniper marine corps saudi arabia petrol golf war,96889998,Jarhead,6.6,765,Jamie Foxx Jake Gyllenhaal Scott MacDonald Lucas Black Peter Sarsgaard,Sam Mendes
Animation Comedy Family,father son relationship lake springfield the simpsons duff beer,527068851,The Simpsons Movie,6.9,2264,Dan Castellaneta Julie Kavner Nancy Cartwright Yeardley Smith Hank Azaria,David Silverman
Drama Romance,california falsely accused prosecution anti-communism hollywood,37317558,The Majestic,6.6,188,Jim Carrey Martin Landau Laurie Holden David Ogden Stiers Hal Holbrook,Frank Darabont
Action,competition running career idol racing car,54744738,Driven,4.5,179,Kip Pardue Robert Sean Leonard Til Schweiger Estella Warren Sylvester Stallone,Renny Harlin
Adventure Drama Family,brother brother relationship loss of brother cambodia chase tiger,62172050,Two Brothers,6.9,180,Ma\u00ef Anh Le Guy Pearce Oanh Nguyen Jaran 'See Tao' Petcharoen St\u00e9phanie Lagarde,Jean-Jacques Annaud
Drama Mystery Thriller,secret forest rural setting blindness courtship,256697520,The Village,6.2,1071,Bryce Dallas Howard Joaquin Phoenix Adrien Brody William Hurt Sigourney Weaver,M. Night Shyamalan
Comedy Family Fantasy,talking to animals woman director,294456605,Doctor Dolittle,5.4,686,Eddie Murphy Ossie Davis Oliver Platt Peter Boyle Richard Schiff,Betty Thomas
Drama Thriller Science Fiction Mystery,symbolism water farm faith alien,408247917,Signs,6.4,1599,Mel Gibson Joaquin Phoenix Rory Culkin Abigail Breslin Cherry Jones,M. Night Shyamalan
Adventure Animation Comedy Family Fantasy,prison magic liberation honeymoon parents-in-law,919838758,Shrek 2,6.7,2988,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Andrew Adamson
Animation Adventure Comedy Family,car race car journey village and town auto route 66,461983149,Cars,6.6,3877,Owen Wilson Paul Newman Bonnie Hunt Larry the Cable Guy Tony Shalhoub,John Lasseter
Comedy Romance,small town self-discovery just married reporter wedding,309457509,Runaway Bride,5.7,455,Julia Roberts Richard Gere Joan Cusack Rita Wilson H\u00e9ctor Elizondo,Garry Marshall
Action Adventure Thriller,sports car biological weapon cold war russian prague,277448382,xXx,5.8,1424,Vin Diesel Asia Argento Samuel L. Jackson Danny Trejo Leila Arcieri,Rob Cohen
Animation Adventure Comedy Family,ocean sea star water comedy,311594032,The SpongeBob Movie: Sponge Out of Water,5.8,719,Tom Kenny Bill Fagerbakke Rodger Bumpass Clancy Brown Carolyn Lawrence,Paul Tibbitt
Action Thriller,bounty loss of child yellow press fbi baby-snatching,309492681,Ransom,6.4,470,Mel Gibson Gary Sinise Delroy Lindo Rene Russo Lili Taylor,Ron Howard
Drama Action Thriller War,paris guerrilla cinema self sacrifice dynamite,319131050,Inglourious Basterds,7.9,6430,Brad Pitt M\u00e9lanie Laurent Christoph Waltz Eli Roth Michael Fassbender,Quentin Tarantino
Adventure Fantasy Comedy Family,flying swordplay sword fantasy peter pan,300854823,Hook,6.6,1532,Robin Williams Dustin Hoffman Julia Roberts Bob Hoskins Maggie Smith,Steven Spielberg
Action Thriller,ambush helicopter journalist based on novel airport,240031094,Die Hard 2,6.6,1896,Bruce Willis Bonnie Bedelia William Atherton Reginald VelJohnson Franco Nero,Renny Harlin
Action Thriller Crime,liberation transport of prisoners special unit weapon los angeles,116643346,S.W.A.T.,5.8,770,Samuel L. Jackson Colin Farrell Michelle Rodriguez LL Cool J Josh Charles,Clark Johnson
Drama Mystery Romance Science Fiction Thriller,amnesia ex-girlfriend virtual reality,203388341,Vanilla Sky,6.5,1078,Tom Cruise Pen\u00e9lope Cruz Cameron Diaz Kurt Russell Jason Lee,Cameron Crowe
Drama Thriller Fantasy Mystery,fortune teller religion and supernatural supernatural powers mythical creature hell,42285169,Lady in the Water,5.3,409,Paul Giamatti Jeffrey Wright Bob Balaban Sarita Choudhury Cindy Cheung,M. Night Shyamalan
Adventure Science Fiction Action,saving the world predator laserpointer space marine pyramid,171183863,AVP: Alien vs. Predator,5.5,1217,Sanaa Lathan Raoul Bova Ewen Bremner Colin Salmon Tommy Flanagan,Paul W.S. Anderson
Comedy Family Animation Fantasy Music,chipmunk cgi based on tv series aftercreditsstinger duringcreditsstinger,443140005,Alvin and the Chipmunks: The Squeakquel,5.4,666,Zachary Levi David Cross Jason Lee Justin Long Matthew Gray Gubler,Betty Thomas
Action History War,vietnam veteran missile vietnam war army major,114660784,We Were Soldiers,6.7,521,Mel Gibson Greg Kinnear Madeleine Stowe Sam Elliott Chris Klein,Randall Wallace
Action Thriller,white house secret service terrorist attack,161025640,Olympus Has Fallen,6.2,2981,Gerard Butler Aaron Eckhart Angela Bassett Morgan Freeman Radha Mitchell,Antoine Fuqua
Science Fiction Action Adventure Thriller,space opera retribution spacecraft officer exploding ship,118000000,Star Trek: Insurrection,6.3,391,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes
Action Science Fiction,saving the world hero marine corps chaos retirement,202466756,Battle: Los Angeles,5.5,1448,Aaron Eckhart Ram\u00f3n Rodr\u00edguez Will Rothhaar Cory Hardrict Jim Parrack,Jonathan Liebesman
Adventure Fantasy Drama,circus father son relationship witch fish fishing,122919055,Big Fish,7.6,1994,Ewan McGregor Albert Finney Billy Crudup Jessica Lange Helena Bonham Carter,Tim Burton
Fantasy,adultery heal bite werewolf,0,Wolf,6,216,Jack Nicholson Christopher Plummer James Spader Michelle Pfeiffer Kate Nelligan,Mike Nichols
Drama War,world war i horse farm life execution trapped,177584879,War Horse,7,992,Tom Hiddleston Benedict Cumberbatch Toby Kebbell Emily Watson Jeremy Irvine,Steven Spielberg
War Drama History Action,world war ii nazis art theft post world war ii,154984035,The Monuments Men,5.8,1523,Matt Damon Cate Blanchett George Clooney Bill Murray John Goodman,George Clooney
Adventure Action Thriller Science Fiction,ocean sea diving suit flying saucer nuclear missile,90000098,The Abyss,7.1,808,Ed Harris Mary Elizabeth Mastrantonio Michael Biehn Leo Burmester Todd Graff,James Cameron
Drama Crime,duringcreditsstinger,134748021,Wall Street: Money Never Sleeps,5.8,493,Michael Douglas Shia LaBeouf Josh Brolin Carey Mulligan Frank Langella,Oliver Stone
Horror Action Drama Fantasy War,vampire dracula bite battle 15th century,215529201,Dracula Untold,6.2,2389,Luke Evans Sarah Gadon Dominic Cooper Art Parkinson Charles Dance,Gary Shore
Drama Action Thriller Crime,islam muslim car bomb fbi agent,116672912,The Siege,6,352,Denzel Washington Annette Bening Bruce Willis Tony Shalhoub Sami Bouajila,Edward Zwick
Adventure Fantasy Romance Family,witch based on novel new love prince beauty,135560026,Stardust,7.1,1184,Claire Danes Charlie Cox Michelle Pfeiffer Robert De Niro Sienna Miller,Matthew Vaughn
Adventure Drama History,buddhism himalaya austria mountains buddhist monk,131457682,Seven Years in Tibet,7,630,Brad Pitt Jamyang Jamtsho Wangchuk David Thewlis BD Wong Mako,Jean-Jacques Annaud
Comedy Drama,adultery infidelity secret investigation friendship,67112664,The Dilemma,5.2,304,Kevin James Vince Vaughn Winona Ryder Jennifer Connelly Queen Latifah,Ron Howard
Action Adventure Comedy Thriller,ambush cia assassin nightclub hustler,65977295,Bad Company,5.4,228,Anthony Hopkins Chris Rock Peter Stormare Gabriel Macht Kerry Washington,Joel Schumacher
Adventure Action Horror,teleportation based on video game severed ear future war wisecrack humor,55987321,Doom,5,609,Dwayne Johnson Karl Urban Rosamund Pike Ben Daniels Deobia Oparei,Andrzej Bartkowiak
Action Adventure Comedy Thriller,budapest kidnapping boxer secret agent liberation of hostage,33561137,I Spy,5.2,269,Eddie Murphy Owen Wilson Famke Janssen Keith Dallas Malcolm McDowell,Betty Thomas
Fantasy Action Horror,vampire daughter hybrid child vampire werewolf,160112671,Underworld: Awakening,6.1,1862,Kate Beckinsale Stephen Rea Michael Ealy Theo James India Eisley,M\u00e5ns M\u00e5rlind
Comedy Drama Music Romance,musical rocker teenager young love rock sta,59418613,Rock of Ages,6,385,Julianne Hough Diego Boneta Tom Cruise Alec Baldwin Russell Brand,Adam Shankman
Drama War,black people world war ii prisoners of war u.s. army war,32287044,Hart's War,5.9,241,Bruce Willis Colin Farrell Terrence Howard Marcel Iure\u0219 Cole Hauser,Gregory Hoblit
Action Adventure Thriller,rescue,57777106,Killer Elite,6.1,695,Jason Statham Clive Owen Robert De Niro Dominic Purcell Yvonne Strahovski,Gary McKendry
Action Science Fiction Thriller,manager arena dystopia wrestling sport,0,Rollerball,3.4,106,Chris Klein LL Cool J Rebecca Romijn Naveen Andrews Jean Reno,John McTiernan
Action Adventure Thriller,loss of family enemy adversary agent,19924033,Ballistic: Ecks vs. Sever,4.3,97,Antonio Banderas Lucy Liu Gregg Henry Ray Park Talisa Soto,Wych Kaosayananda
Thriller,sheriff rain evacuation armored car crook,19870567,Hard Rain,5.5,179,Morgan Freeman Christian Slater Randy Quaid Minnie Driver Ed Asner,Mikael Salomon
Adventure Animation Action Comedy Family,cold flu lethal virus construction worker,13596911,Osmosis Jones,5.9,228,Chris Rock Laurence Fishburne David Hyde Pierce Brandy Norwood Bill Murray,Bobby Farrelly
Animation Music Family,,18662027,Legends of Oz: Dorothy's Return,5.9,43,Lea Michele Dan Aykroyd Patrick Stewart Hugh Dancy Jim Belushi,Dan St. Pierre
Crime Drama Mystery,terrorist technology anti hero hacker computer virus,17752940,Blackhat,5.1,826,Chris Hemsworth Leehom Wang Tang Wei Viola Davis Holt McCallany,Michael Mann
Mystery Action Thriller Science Fiction Adventure,london england himalaya journalist killer robot computer war,57958696,Sky Captain and the World of Tomorrow,5.7,439,Jude Law Gwyneth Paltrow Giovanni Ribisi Angelina Jolie Bai Ling,Kerry Conran
Crime Mystery Thriller,male nudity sex legs soho london playing god,38629478,Basic Instinct 2,4.6,180,Sharon Stone David Morrissey Charlotte Rampling David Thewlis Stan Collymore,Michael Caton-Jones
Action Thriller,prison muslim ship mystery science fiction,122915111,Escape Plan,6.7,1659,Sylvester Stallone Arnold Schwarzenegger Jim Caviezel Vinnie Jones 50 Cent,Mikael H\u00e5fstr\u00f6m
Action Adventure,mythology zeus ancient greece demigod city of argos,61279452,The Legend of Hercules,4.4,533,Kellan Lutz Liam McIntyre Gaia Weiss Scott Adkins Roxanne McKee,Renny Harlin
Thriller Action Drama,cia terrorist atomic bomb cold war nuclear explosion,193000000,The Sum of All Fears,5.9,437,Ben Affleck Morgan Freeman James Cromwell Ken Jenkins Liev Schreiber,Phil Alden Robinson
Adventure Fantasy Drama Romance,vampire graduation bite immortality werewolf,698491347,The Twilight Saga: Eclipse,5.8,2301,Kristen Stewart Robert Pattinson Taylor Lautner Ashley Greene Peter Facinelli,David Slade
Action Crime Thriller,quebec jewel scepter customs house jewelry heist,71069884,The Score,6.7,423,Robert De Niro Edward Norton Marlon Brando Angela Bassett Paul Soles,Frank Oz
Animation Family,adoptive father orphanage life's dream rivalry stealing,543513985,Despicable Me,7.1,6478,Steve Carell Jason Segel Russell Brand Julie Andrews Will Arnett,Pierre Coffin
Action Comedy Crime,brother brother relationship subway new york city new york subway train robbery,35431113,Money Train,5.4,222,Wesley Snipes Woody Harrelson Jennifer Lopez Robert Blake Chris Cooper,Joseph Ruben
Comedy,sperm bank sequel buddy courthouse teddy bear,217022588,Ted 2,6.2,2463,Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi,Seth MacFarlane
Adventure Drama History,christianity philosophy egypt new love war,39041505,Agora,6.9,395,Rachel Weisz Max Minghella Oscar Isaac Ashraf Barhom Michael Lonsdale,Alejandro Amen\u00e1bar
Adventure Fantasy Action Comedy Science Fiction,bowling hostage sphinx training insane asylum,29762011,Mystery Men,5.7,250,Ben Stiller Geoffrey Rush Claire Forlani William H. Macy Hank Azaria,Kinka Usher
Comedy,wife husband relationship daydream marriage freedom friends,83160734,Hall Pass,5.4,611,Owen Wilson Jason Sudeikis Jenna Fischer Christina Applegate Nicky Whelan,Bobby Farrelly
Drama Thriller,spy newspaper research interview tobacco,60289912,The Insider,7.3,481,Al Pacino Russell Crowe Christopher Plummer Diane Venora Bruce McGill,Michael Mann
Action Drama History Thriller,coast guard based on true story survival rescue mission storm at sea,52099090,The Finest Hours,6.3,588,Chris Pine Casey Affleck Ben Foster Eric Bana Holliday Grainger,Craig Gillespie
Action Drama Thriller,terror falsely accused based on novel dying and death jordan,113280098,Body of Lies,6.5,895,Leonardo DiCaprio Russell Crowe Mark Strong Ali Suliman Simon McBurney,Ridley Scott
Comedy,mouse idiot mind control taxidermy aftercreditsstinger,86387857,Dinner for Schmucks,5.5,531,Steve Carell Paul Rudd Stephanie Szostak Jemaine Clement Zach Galifianakis,Jay Roach
Action Fantasy Horror,usa president vampire steam locomotive american civil war 19th century,112265139,Abraham Lincoln: Vampire Hunter,5.5,1269,Benjamin Walker Dominic Cooper Anthony Mackie Mary Elizabeth Winstead Rufus Sewell,Timur Bekmambetov
Romance Drama Mystery,london england new year's eve skyscraper burglar distrust,212404396,Entrapment,6,602,Sean Connery Catherine Zeta-Jones Will Patton Maury Chaykin Ving Rhames,Jon Amiel
Mystery Science Fiction Thriller,bomb helicopter secret obsession extraterrestrial technology,189198313,The X Files,6.6,488,David Duchovny Gillian Anderson Mitch Pileggi William B. Davis John Neville,Rob Bowman
Action Adventure Fantasy War,roman empire emperor ancient rome western roman empire ancient world,25303038,The Last Legion,5,207,Colin Firth Ben Kingsley Aishwarya Rai Bachchan Peter Mullan Kevin McKidd,Doug Lefler
Drama History War,war crimes self sacrifice war veteran world war ii war ship,481840909,Saving Private Ryan,7.9,5048,Tom Hanks Matt Damon Vin Diesel Tom Sizemore Barry Pepper,Steven Spielberg
Action Crime Drama Thriller,street race super cars super speed car based on video game,203277636,Need for Speed,6.1,1520,Aaron Paul Dominic Cooper Imogen Poots Rami Malek Ram\u00f3n Rodr\u00edguez,Scott Waugh
Comedy Romance,women telepathy supernatural powers advertising executive woman director,374111707,What Women Want,6.1,992,Helen Hunt Mel Gibson Marisa Tomei Lauren Holly Mark Feuerstein,Nancy Meyers
Animation Comedy Family Adventure,human evolution parents kids relationship squirrel ice loss of child,383257136,Ice Age,7.1,3857,Ray Romano John Leguizamo Denis Leary Goran Visnjic Jack Black,Chris Wedge
Drama Horror Science Fiction Thriller,religion and supernatural,75715436,Dreamcatcher,5.3,567,Morgan Freeman Thomas Jane Jason Lee Damian Lewis Timothy Olyphant,Lawrence Kasdan
History Drama,usa president speech battlefield family conflict mourning,275293450,Lincoln,6.7,1429,Daniel Day-Lewis Sally Field David Strathairn Joseph Gordon-Levitt James Spader,Steven Spielberg
Action Science Fiction,saving the world artificial intelligence man vs machine philosophy prophecy,463517383,The Matrix,7.9,8907,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Gloria Foster,Lilly Wachowski
Drama,moon florida nasa spaceman race against time,355237933,Apollo 13,7.3,1599,Tom Hanks Bill Paxton Kevin Bacon Gary Sinise Ed Harris,Ron Howard
Fantasy Comedy Family,holiday christmas party home santa claus magic,172855065,The Santa Clause 2,5.5,297,Tim Allen Elizabeth Mitchell David Krumholtz Eric Lloyd Spencer Breslin,Michael Lembeck
Drama Music Romance,france robbery brothel mayor star,441809770,Les Misérables,7.1,1884,Hugh Jackman Russell Crowe Anne Hathaway Amanda Seyfried Sacha Baron Cohen,Tom Hooper
Comedy Romance,romantic comedy online dating woman director,250821495,You've Got Mail,6.3,838,Tom Hanks Meg Ryan Katie Sagona Greg Kinnear Parker Posey,Nora Ephron
Comedy,becoming an adult autonomy childhood trauma hostility step brother,128107642,Step Brothers,6.5,1062,Will Ferrell John C. Reilly Mary Steenburgen Richard Jenkins Adam Scott,Adam McKay
Action Adventure,california spy hero horseback riding sword fight,250288523,The Mask of Zorro,6.3,1183,Antonio Banderas Anthony Hopkins Catherine Zeta-Jones Stuart Wilson Diego Sieres,Martin Campbell
Comedy Drama,highway slacker hitchhiker wallet sunglasses,211780824,Due Date,6.2,1685,Robert Downey Jr. Zach Galifianakis Michelle Monaghan Jamie Foxx Juliette Lewis,Todd Phillips
Drama War,world war ii prisoners of war biography sport war,163442937,Unbroken,7.3,1400,Jack O'Connell Domhnall Gleeson Garrett Hedlund Miyavi Finn Wittrock,Angelina Jolie
Action Adventure Thriller,nasa space travel astronaut elderly,128884132,Space Cowboys,6.3,403,Clint Eastwood Tommy Lee Jones Donald Sutherland James Garner James Cromwell,Clint Eastwood
Action Adventure Thriller,rocky mountains airplane hijacking suitcase climbing,255000211,Cliffhanger,6.1,588,Sylvester Stallone John Lithgow Michael Rooker Janine Turner Rex Linn,Renny Harlin
Action Adventure Drama Thriller,helicopter river captain underground mexican standoff,150270147,Broken Arrow,5.7,453,John Travolta Christian Slater Samantha Mathis Delroy Lindo Bob Gunton,John Woo
Fantasy Comedy Family,age difference midlife crisis suppressed past self-awareness childhood memory,69700000,The Kid,6,238,Bruce Willis Spencer Breslin Emily Mortimer Lily Tomlin Chi McBride,Jon Turteltaub
Drama History Thriller,terror runaway alarm clock hero firemen,162945894,World Trade Center,5.9,447,Nicolas Cage Maria Bello Maggie Gyllenhaal Michael Pe\u00f1a Jay Hernandez,Oliver Stone
Drama Romance,faculty art history rowing school nurse femininity,0,Mona Lisa Smile,6.5,393,Julia Roberts Kirsten Dunst Julia Stiles Maggie Gyllenhaal Ginnifer Goodwin,Mike Newell
Comedy,kurdish,179379533,The Dictator,5.9,1743,Sacha Baron Cohen Sayed Badreya Aasif Mandvi Megan Fox Anna Faris,Larry Charles
Mystery Drama,life and death sexual obsession free love heterosexual christmas party,162091208,Eyes Wide Shut,7.1,1234,Tom Cruise Nicole Kidman Madison Eginton Jackie Sawiris Sydney Pollack,Stanley Kubrick
Comedy Drama Family,musical orphan foster child,133821816,Annie,6,466,Quvenzhan\u00e9 Wallis Jamie Foxx Rose Byrne Cameron Diaz Bobby Cannavale,Will Gluck
Romance Comedy Crime Drama,seduction con man femme fatale deception rivalry,153962963,Focus,6.7,2542,Will Smith Margot Robbie Rodrigo Santoro Robert Taylor Gerald McRaney,Glenn Ficarra
Action Comedy Romance,love triangle friendship dating sushi bar exploding airplane,156974557,This Means War,5.9,1389,Reese Witherspoon Chris Pine Tom Hardy Laura Vandervoort Angela Bassett,McG
Science Fiction Action Horror Thriller Adventure,fbi dracula fistfight vampire hunter superhero,128905366,Blade: Trinity,5.7,1252,Wesley Snipes Kris Kristofferson Dominic Purcell Jessica Biel Ryan Reynolds,David S. Goyer
Action Thriller,guerrilla colorado invasion anti-communism near future,38376497,Red Dawn,6.4,215,Patrick Swayze C. Thomas Howell Lea Thompson Darren Dalton Charlie Sheen,John Milius
Comedy Drama,white house usa president presidential election scandal george w. bush,0,Primary Colors,6.1,94,John Travolta Emma Thompson Billy Bob Thornton Kathy Bates Adrian Lester,Mike Nichols
Action Horror Science Fiction,mutant dystopia sequel conspiracy tokyo japan,240159255,Resident Evil: Retribution,5.6,1600,Milla Jovovich Sienna Guillory Michelle Rodriguez Aryana Engineer Li Bingbing,Paul W.S. Anderson
Action Thriller Science Fiction,car race dystopia matter of life and death prison guard car set on fire,73762516,Death Race,6,1175,Jason Statham Joan Allen Ian McShane Tyrese Gibson Natalie Martinez,Paul W.S. Anderson
Crime Action Mystery Thriller,assassination amnesia hostage chase dark comedy,89456761,The Long Kiss Goodnight,6.5,314,Geena Davis Samuel L. Jackson Yvonne Zima Craig Bierko Tom Amandes,Renny Harlin
Action Adventure Drama Romance Thriller,hostage new love suspense agent,0,Proof of Life,6,208,Meg Ryan Russell Crowe David Morse Pamela Reed David Caruso,Taylor Hackford
Family Fantasy Science Fiction Adventure,adventure house alien giant robot outer space,64321501,Zathura: A Space Adventure,6.1,779,Jonah Bobo Josh Hutcherson Dax Shepard Kristen Stewart Tim Robbins,Jon Favreau
Drama,support group dual identity nihilism rage and hate insomnia,100853753,Fight Club,8.3,9413,Edward Norton Brad Pitt Meat Loaf Jared Leto Helena Bonham Carter,David Fincher
Drama,american football 1970s trainer college sport,43545364,We Are Marshall,6.7,186,Matthew McConaughey Matthew Fox Anthony Mackie David Strathairn Ian McShane,McG
Action Adventure Comedy,vatican leonardo da vinci painting master thief,17218080,Hudson Hawk,5.4,269,Bruce Willis Danny Aiello Andie MacDowell James Coburn Richard E. Grant,Michael Lehmann
Action Adventure Comedy Crime Romance,weather forecast tv station weather lottery wettermann,0,Lucky Numbers,4.9,52,John Travolta Lisa Kudrow Tim Roth Ed O'Neill Michael Rapaport,Nora Ephron
Horror Thriller,soul queen anti hero fantasy prince,71154592,"I, Frankenstein",5,687,Aaron Eckhart Yvonne Strahovski Bill Nighy Jai Courtney Miranda Otto,Stuart Beattie
Crime Drama Family,london england child abuse street gang runaway child labour,42093706,Oliver Twist,6.7,274,Barney Clark Ben Kingsley Jamie Foreman Harry Eden Edward Hardwicke,Roman Polanski
Action Fantasy,martial arts based on comic book female assassin spin off,56681566,Elektra,4.8,575,Jennifer Garner Goran Visnjic Will Yun Lee Cary-Hiroyuki Tagawa Terence Stamp,Rob Bowman
Crime Thriller,detective dystopia dominatrix murder suspense,39407616,Sin City: A Dame to Kill For,6.3,1286,Mickey Rourke Jessica Alba Josh Brolin Joseph Gordon-Levitt Rosario Dawson,Robert Rodriguez
Drama Romance,infidelity politician airplane crash death death of husband,74608570,Random Hearts,5.3,63,Harrison Ford Kristin Scott Thomas Charles S. Dutton Bonnie Hunt Dennis Haysbert,Sydney Pollack
Adventure Drama,mountains snow storm hiking climbing snow,203427584,Everest,6.7,1772,Jason Clarke Jake Gyllenhaal Josh Brolin John Hawkes Sam Worthington,Baltasar Korm\u00e1kur
Crime Fantasy Drama,paris female nudity prostitute small town obsession,132180323,Perfume: The Story of a Murderer,7.1,1165,Ben Whishaw Simon Chandler David Calder Richard Felix Birgit Minichmayr,Tom Tykwer
Comedy Crime Science Fiction,saving the world submarine brother brother relationship clone spy,296655431,Austin Powers in Goldmember,5.9,979,Mike Myers Beyonc\u00e9 Knowles Seth Green Michael York Mindy Sterling,Jay Roach
Animation Action Family Science Fiction,superhero,44091067,Astro Boy,6.1,409,Nicolas Cage Kristen Bell Bill Nighy Donald Sutherland Freddie Highmore,David Bowers
Adventure Science Fiction,exotic island dna paleontology tyrannosaurus rex triceratops,920100000,Jurassic Park,7.6,4856,Sam Neill Laura Dern Jeff Goldblum Richard Attenborough Bob Peck,Steven Spielberg
Drama Action Western,gunslinger gambling sheriff deputy sheriff wretch,25052000,Wyatt Earp,6.5,202,Kevin Costner Dennis Quaid Gene Hackman David Andrews Linden Ashby,Lawrence Kasdan
Action Drama Thriller,assassination spy ambush cia helicopter,215887717,Clear and Present Danger,6.4,386,Harrison Ford Willem Dafoe Anne Archer Joaquim de Almeida Henry Czerny,Phillip Noyce
Action Drama Adventure,,121545703,Dragon Blade,5.9,145,Jackie Chan John Cusack Adrien Brody Sharni Vinson Benny Urquidez,Daniel Lee
Comedy Crime,baby adoption married couple small person criminal,101595121,Little Man,5.3,261,Marlon Wayans Shawn Wayans Kerry Washington John Witherspoon Tracy Morgan,Keenen Ivory Wayans
Action Drama Thriller War,submarine world war ii north atlantic mission,127666415,U-571,6.1,340,Matthew McConaughey Bill Paxton Harvey Keitel Jon Bon Jovi David Keith,Jonathan Mostow
Comedy Drama Romance,white house usa president new love widower wildlife conservation,107879496,The American President,6.5,195,Michael Douglas Annette Bening Michael J. Fox Martin Sheen Anna Deavere Smith,Rob Reiner
Comedy Romance,sport ice hockey guru comedy bollywood,41819064,The Love Guru,4.3,242,Mike Myers Jessica Alba Justin Timberlake Romany Malco Meagan Good,Marco Schnabel
Action Adventure Comedy Thriller Crime,casino submachine gun hold-up robbery elvis reference to elvis presley,18720175,3000 Miles to Graceland,5.8,178,Kurt Russell Kevin Costner Courteney Cox Christian Slater Kevin Pollak,Demian Lichtenstein
Crime Drama Mystery Western,bounty hunter wyoming mountains narration hangman,155760117,The Hateful Eight,7.6,4274,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins Demi\u00e1n Bichir,Quentin Tarantino
Action Comedy Drama,competition olympic games sport rivalry ice skating,0,Blades of Glory,5.9,569,Will Ferrell Jon Heder Will Arnett Amy Poehler Jenna Fischer,Josh Gordon
Animation Comedy Family,coup d'etat slacker easter easter bunny aftercreditsstinger,183953723,Hop,5.5,331,Russell Brand James Marsden Kaley Cuoco Hank Azaria Elizabeth Perkins,Tim Hill
Action Adventure War,evisceration javelin shield army fall from height,422610419,300,7,4997,Gerard Butler Lena Headey Dominic West David Wenham Vincent Regan,Zack Snyder
Comedy Romance,cia parents kids relationship florida anti-authoritarian upbringing jew,516642939,Meet the Fockers,6.1,1373,Ben Stiller Teri Polo Robert De Niro Dustin Hoffman Barbra Streisand,Jay Roach
Comedy Family,journalist based on novel puppy dog duringcreditsstinger,244082376,Marley & Me,6.9,1343,Owen Wilson Jennifer Aniston Eric Dane Kathleen Turner Alan Arkin,David Frankel
Fantasy Drama Crime,southern usa black people mentally disabled based on novel heal,284600000,The Green Mile,8.2,4048,Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt James Cromwell,Frank Darabont
Action Adventure Comedy,midlife crisis road trip politically incorrect motorcycle gang biker film,253625427,Wild Hogs,5.6,648,Tim Allen John Travolta Martin Lawrence William H. Macy Ray Liotta,Walt Becker
Animation Family Comedy,fish small town space marine chicken alien,314432665,Chicken Little,5.6,944,Zach Braff Joan Cusack Dan Molina Steve Zahn Garry Marshall,Mark Dindal
